CTRI_No,Public_Title,Type_of_Trial,Recruitment_Status,Health_Condition,Intervention_Name,Location
CTRI/2013/05/003627,"A study to observe the safety of Bevacizumab when it is added to the standard chemotherapy (carboplatin and paclitaxel)when it is routinely prescribed to patients of advanced/metastatic epithelial ovarian,fallopian tube or primary peritoneal cancer",PMS,"Total: Not Applicable
Indian: Completed","Advanced/metastatic Epithelial ovarian cancer, fallopian tube cancer or primary peritoneal cancer",It is a data collection study no test product or intervention will be done for the study.,"Apex Wellness Hospital,MAHARASHTRA

Grant Medical Foundation Ruby Hall Clinic,MAHARASHTRA

HCG Manavta Cancer centre,MAHARASHTRA

HCG NCHRI Cancer Center,MAHARASHTRA

Health Care Global Enterprises Limited,KARNATAKA

Jehangir Clinical Development Centre,Jehangir Hospital,MAHARASHTRA

Marathwada Regional Cancer Center & Research Institute,MAHARASHTRA

Max super Speciality Hospital (A Unit of Balaji Medical &Diagnostic research Centre), ,DELHI

MOC Cancer Care & Research Centre,MAHARASHTRA

Peerless Hospitex Hospital And Research Center Limited ,WEST BENGAL

Rajiv Gandhi Cancer Institute and Research Centre,DELHI

Sahyadri Speciality Hospital,MAHARASHTRA

Shalby Hospital , Ahmedabad,GUJARAT"
CTRI/2013/04/003596,A study to assess effect of ursolic acid extract in the body of healthy human volunteers,BA/BE,"Total: Not Applicable
Indian: Completed","Ursolic Acid is naturally found throughout the plant kingdom and is rich in apple peels, sage leaf etc.It has anti-cancer, antioxidant, anti-inflammatory effects and hepatoprotective effects.",Ursolic Acid Extract - 100 mg OD on Day 1 500mg OD on Day 8 and 1000 mg OD on Day 15,"Piramal Clinical Research,ANDHRA PRADESH"
CTRI/2013/05/003688,Effects of ashwagandha in advanced cancer patients,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",50 hemodynamically stable stage IV cancer patients with or without chemotherapy shall be given the coded trial medicine or placebo,"Group 2

Group 4","Department of Pharmacology,Research Lab. Room number 207.,UTTARANCHAL"
CTRI/2013/01/003335,Lung Cancer Treatment & Outcome study,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Lung cancer,,"Tata Memorial center,MAHARASHTRA"
CTRI/2013/07/003854,CLINICAL TRIAL TO EVALUATE THE EFFICACY AND SAFETY OF VRP 1620 IN PATIENTS OF BREAST CANCER.,Interventional,"Total: Not Applicable
Indian: Completed",breast cancer,VRP 1620,"Acharya Tulsi Regional Cancer Treatment and Research Institute,RAJASTHAN

Apollo Gleneagles Hospitals,WEST BENGAL

B.P. Poddar Hospital & Medical Research Ltd.,WEST BENGAL

Bibi General Hospital and Cancer Centre,ANDHRA PRADESH

Christian Medical College & Hospital,PUNJAB

Curie Manavata Cancer Centre,MAHARASHTRA

HCG Bangalore Institute of Oncology,KARNATAKA

King Georges Medical University,UTTAR PRADESH

Marwari Hospital & Research Centre,ASSAM

Nirmal Hospital Private Limited,GUJARAT

Sapthagiri institute of Medical Sciences and Research Center,KARNATAKA

Sita Devi Hospital,RAJASTHAN

SMS Medical College and Attached Hospital,RAJASTHAN

SMS Medical College and Attached Hospital,RAJASTHAN

Tarini cancer hospital and Research Institute,RAJASTHAN"
CTRI/2013/06/003778,Trial of Active Immunotherapy With Globo H-KLH (OPT-822) in Metastatic Breast Cancer Subjects,Interventional,"Total: Open to Recruitment
Indian: Suspended",Metastatic Breast Cancer,OPT-822/OPT-821,"Curie Manavata Cancer Centre,MAHARASHTRA

HCG Bangalore Institute of Oncology,KARNATAKA

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2013/11/004140,"To assess potential hazards, including immediate adverse events after bivalent and quadrivalent HPV vaccines immunizations in healthy Indian women aged 18-25 years.",PMS,"Total: Not Applicable
Indian: Completed",To prevent cervical cancer,"GSK Biologicals HPV vaccine

Merck s Human Papillomavirus Quadrivalent (Types 6, 11, 16, and 18) Vaccine","B. J. Govt. Medical college and Sassoon General Hospitals, Pune,MAHARASHTRA"
CTRI/2013/02/003353,Pilot Study to know whether menstrual pad/cloth can be a cervical cancer screening tool,Observational,"Total: Not Applicable
Indian: Completed",Healthy married women age 30 to 50 with no history of cervical cancer Unmarried girl 12 to 18 having regular menstruation,,"Rural Cancer Registry Barshi,MAHARASHTRA"
CTRI/2013/02/003377,Surgical obturator with original tissue form and its effect on facial deformity and quality of life,Interventional,"Total: Not Applicable
Indian: Open to Recruitment","Oral Cancer, Maxillectomy",Surgical Obturator restoring original tissue form,"Government Dental College and Hospital, Nagpur,MAHARASHTRA"
CTRI/2021/01/030692,Comparison of two type of manual therapy techniques for shoulder in women affected with breast cancer.,Interventional,"Total: Not Applicable
Indian: Completed","Malignant neoplasm of breast of unspecified site

operated cases of breast cancer",Kaltenborn mobilization,"Dr Prabhakar Kore Hospital and MRC ,KARNATAKA"
CTRI/2013/03/003461,Incidence of Her 2 testing on pathology of patients with gastric cancer,Observational,"Total: Not Applicable
Indian: Open to Recruitment",gastric cancer,,"Tata Memorial hospital,MAHARASHTRA"
CTRI/2013/04/003603,Palliative treatment of carcinoma esophagous with an Indian made stent,Interventional,"Total: Not Applicable
Indian: Completed",Advanced unresectable cancer,Esophageal stent,"AIIMS,DELHI"
CTRI/2013/03/003454,Radiotherapy treatment schedules in cancer cervix.,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Cancer of the cervix,Radiation therapy six days a week(study arm),"Department of Radiotherapy, PGIMER, Chandigarh,CHANDIGARH"
CTRI/2009/091/000262,"Safety, efficacy and pharmacokinetic study of paclitaxel injection concentrate for nano-dispersion in subjects with metastatic breast cancer.",Interventional,"Total: Not Applicable
Indian: Completed","Female subjects 18 to 75-years of age with confirmed diagnosis of breast cancer and the performance status â‰¤ 2 on the ECOG performance scale (life expectancy of at least 12-weeks)

Malignant neoplasm of breast of unspecified site",Paclitaxel nano-dispersion,"Apollo Hospital, Ahmedabad,GUJARAT

Denananath Mangeshkar Hospital, Pune,MAHARASHTRA

Kailash Cancer Hospital, Goraj,N/A

KEM Hospital, pune,MAHARASHTRA

Manavata Curie Research centre,MAHARASHTRA

Shatabdi Superspeciality Hospital, Nashik,MAHARASHTRA"
CTRI/2013/05/003668,Comparison study of two different treatment positions in patients receiving pelvic radiation for gynecologic cancer.,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Endometrial and cervical cancers,Radiation in prone position using Belly Board device,"Regional Cancer Centre, Thiruvananthpuram,KERALA"
CTRI/2013/04/003568,NECK DISSECTION VERSUS OBSERVATION IN EARLY ORAL CAVITY CANCER,Interventional,"Total: Not Applicable
Indian: Open to Recruitment","T1, T2 oral cavity cancer with node negative neck",surgery/anaesthesia,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2016/01/006558,A trial to study the efficacy of metronomic chemotherapy in patients of Relapsed Ovarian Cancer.,Interventional,"Total: Not Applicable
Indian: Completed",Relapsed Epithelial Ovarian Cancer,Metronomic chemotherapy,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/09/006195,The trend of rise and fall of circulating DNA after the first cycle of chemotherapy in breast cancer patients,Observational,"Total: Not Applicable
Indian: Completed",patients with breast cancer receiving chemotherapy,chemotherapy,"Department of medical oncology,MAHARASHTRA"
CTRI/2014/03/004444,A Phase II Study of Everolimus in Combination With Exemestane Versus Everolimus Alone Versus Capecitabine in Advance Breast Cancer,Interventional,"Total: Completed
Indian: Completed","locally advanced, recurrent, or metastatic breast cancer","Everolimus (RAD001)Monotherapy

Capecitabine Monotherapy","All India Institute Of Medical Sciences,DELHI

B P Poddar Hospital and Medical Research Limited,WEST BENGAL

Basavatarakam Indo-American Cancer Hospital & Research Institute,ANDHRA PRADESH

Noble Hospital,MAHARASHTRA

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2013/05/003661,A study to compare two different types of surgeries for rectal cancer,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Low Rectal cancer,Extralevator abdominoperineal excision,"Cancer Institute (WIA),TAMIL NADU"
CTRI/2013/04/003569,Role of enzyme therapy in treating oral ulcers caused by radiotherapy,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Head and neck cancer patients,Phlogam,"Department of Radiotherapy,KARNATAKA"
CTRI/2014/03/004443,"A clinical study of EVERolimus (RAD001)in combination with EXemestane in post-menopausal women with EStrogen receptor positive, human epidermal growth factor receptor 2 negative locally advanced or metastatic breast cancer",Interventional,"Total: Completed
Indian: Completed",Locally Advanced or Metastatic Breast Cancer,Everolimus (RAD001)and exemestane,"Acharya Harihar Regional Cancer Centre,ORISSA

Bombay Hospital & Medical Research Centre,MAHARASHTRA

Curie Manavata Cancer Centre,MAHARASHTRA

Dayanand Medical College & Hospital,PUNJAB

Gujarat Cancer Research Institute,GUJARAT

M.S. Patel Cancer Centre,GUJARAT

Noble Hospital,MAHARASHTRA"
CTRI/2013/05/003665,Bioequivalence study to compare Xeloda and Capecitabine tablets in patients with colorectal cancer or breast cancer,BA/BE,"Total: Not Applicable
Indian: Completed",Patients with colorectal cancer or breast cancer,Capecitabine (CJSC Biocad) tablets 500mg,"BIBI General Hospital and Cancer Center,ANDHRA PRADESH

Chinmaya Mission Hospital,KARNATAKA

Omega Hospitals,ANDHRA PRADESH

Sri Venkateshwara Hospital,KARNATAKA"
CTRI/2014/09/005064,A study on cancer patients receiving chemotherapy to identify the occurrence of depression in those cancer patients using questionnaire tools.,Observational,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",cancer patients undergoing chemotherapy treatment,,"HAH CENTENARY HOSPITAL,DELHI"
CTRI/2013/06/003769,Observational study for prescription rate for cancer treatment modalities at different cancer center.,Observational,"Total: Not Applicable
Indian: Open to Recruitment",CANCER,,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2013/10/004075,Rectus sheath block for post operative pain relief in women undergoing surgery for cancer in the reproductive organs,Interventional,"Total: Not Applicable
Indian: Completed",Women 18- 75 years of age with ASA 1& 2 who are listed for elective midline abdominal surgery for the treatment of primary gynaecological cancer,Rectus sheath block,"Main OT complex , Wards- General female ward, private wards,MAHARASHTRA"
CTRI/2013/09/003977,A Phase 3 Study of Epoetin Alfa plus Standard Supportive Care versus Standard Supportive Care in Anemic Patients With Metastatic Breast Cancer Receiving Standard Chemotherapy,Interventional,"Total: Open to Recruitment
Indian: Closed to Recruitment of Participants",Breast Cancer,Epoetin Alfa .,"Apollo Specialty Hospital,TAMIL NADU

B.P.Poddar Hospital and medical Research Ltd,WEST BENGAL

Bhagwan Mahaveer Cancer Hospital & Research Center,RAJASTHAN

Chirayu Medical College and Hospital,MADHYA PRADESH

Christian Medical College ,TAMIL NADU

Deenanath Mangeshkar Hospital and Research Centre,MAHARASHTRA

Global Hospitals,ANDHRA PRADESH

Institute of Oncology and Regional Cancer Centre ,ANDHRA PRADESH

Jehangir Hospital,MAHARASHTRA

Kasturba Medical College Hospital,KARNATAKA

Kidwai Memorial Institute of Oncology,KARNATAKA

King George Medical University,UTTAR PRADESH

Lakeshore Hospital & Research Centre,KERALA

Nizamâ€™s Institute of Medical Sciences,ANDHRA PRADESH

Rajalakshmi Multispeciality hospital,KARNATAKA

Rajiv Gandhi Cancer Institute and Research Centre,DELHI

Regional Cancer Centre,KERALA

SEAROC Cancer center,RAJASTHAN

Shatabdi Super Speciality hospital ,MAHARASHTRA

Sir Ganaga Ram Hospitals,DELHI

SMS Hospital,RAJASTHAN

Tata Memorial Hospital,MAHARASHTRA

V.S.Hospitals Pvt.Ltd.,TAMIL NADU"
CTRI/2014/11/005228,â€¢ To assess the in-vivo ability of local anesthetics agents like lignocaine to decrease the dissemination of cancer cells during surgery and improve the disease free interval,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Operable Female Breast Cancer,Peritumoural Injection 0.5 % Lignocaine,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2013/06/003734,Low dose chemotherapy versus Best Supportive Care in Progressive and/or Refractory Pediatric Malignancies,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Refractory Childhood cancer,Low dose chemotherapy,"Dr. BRA IRCH, AIIMS,DELHI"
CTRI/2013/07/003829,"Comparative study of Doxorubicin HCL Liposome Inj(2mg/mL)(10mL) with DoxilÂ®,20mg in 10mL(2mg/mL)Manf.for:Janssen Products, LP Horsham,PA 19044 administer in female patient with progressed/recurred ovarian cancer after platinum based chemo under fed condition",BA/BE,"Total: Not Applicable
Indian: Other (Terminated)",Ovarian Cancer,Doxorubicin Hydrochloride Liposome Injection. Dose of 50 mg/meter square will be administered once in every 4 weeks by Intra Venous Infusion for four to six cycles.,"BIBI General Hospital & Cancer center ,ANDHRA PRADESH

Cancer Clinic,MAHARASHTRA

Central India Cancer Research Institute,MAHARASHTRA

City Cancer centre,ANDHRA PRADESH

Curie Manavata cancer centre,MAHARASHTRA

Dr. G Vishwanathan Speciality Hospital,TAMIL NADU

Erode Cancer center Velavan Nagaar,TAMIL NADU

Kailash cancer hospital and Research centre,,GUJARAT

Life Research center,GUJARAT

Meenakshi mission hospital and research center,TAMIL NADU

N R R Hospital,KARNATAKA

Nandadeep Multispeciality Hospital,MAHARASHTRA

Noble Hospital Pvt ltd.,MAHARASHTRA

Omega Hospital,,ANDHRA PRADESH

Shreyas Medical Clinic and Hospital,GUJARAT"
CTRI/2013/09/003986,"HPV prevalence and type distribution in cervical infection, cervical intraepithelial lesions and cervical cancer in Indian Women",Observational,"Total: Not Applicable
Indian: Open to Recruitment","HPV infection, Cervical intraepithelial neoplasia and Cervical cancer",,"Department of Gynecological Oncology, Chittaranjan National Cancer Institute,WEST BENGAL

Department of Obstetrics & Gynaecology, All India Institute of Medical Sciences,DELHI

Department of Obstetrics and Gynecology, Christian Medical College, Vellore,TAMIL NADU

MNJ Institute of Oncology & Regional cancer center,ANDHRA PRADESH"
CTRI/2014/11/005229,An assessment of effect of pre operative Proluton in patients with operable breast cancer,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Operable Breast Cancer,Inj. Hydroxyprogesterone 500 mg,"Tata Memorial Hospital ,MAHARASHTRA"
CTRI/2013/10/004101,skin side effects of anticancer drugs in cancer patients,Observational,"Total: Not Applicable
Indian: Completed",cutaneous adverse effects of chemotherapy in cancer patients,,"Father Muller Medical College,KARNATAKA"
CTRI/2013/09/004012,This study will evaluate the immunogenicity and tolerability of V503 i preadolescent and adolescent subjects between 9 and 15 years old an demonstrate the consistency of the manufactured vaccine through assessment of 3 different final manufacturing process lots of V503.,Interventional,"Total: Closed to Recruitment of Participants
Indian: Closed to Recruitment of Participants","Cervical Cancers Vulvar Cancer Vaginal Cancer Genital Lesions PAP Test Abnormalities HPV Infections

Malignant neoplasm of cervix uteri, unspecified","Boys 9 to 15 years old: Lot 1

Experimental: Girls 9 to 15 years old: V503 Lot 1

Experimental: Girls 9 to 15 years old: V503 Lot 2

Experimental: Girls 9 to 15 years old: V503 Lot 3","All India Institute of Medical Sciences,DELHI

Bharati Hospital AndResearch Center,MAHARASHTRA

Chacha Nehru BalChikitsalaya and MGM,MADHYA PRADESH

Dayanand Medical College and Hospital,PUNJAB

Medical CollegeKolkata,WEST BENGAL

Nilofer Hospital,ANDHRA PRADESH

Spectrum Healthcare,MAHARASHTRA"
CTRI/2021/09/036604,Evaluation of Role of exercise in women undergoing treatment for breast cancer.,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants","Malignant neoplasm of breast

Nonmetastatic operable breast cancer",Yogic and Routine exrcises (exercise I),"Tata Memorial Centre,MAHARASHTRA"
CTRI/2013/08/003906,A clinical trial to study the effect of oral ice application in preventing oral ulcer associated with radiotherapy among cancer patients undergoing radiotherapy.,Interventional,"Total: Not Applicable
Indian: Completed",Oral mucositis among Head and Neck cancer patients who were undergoing for radical radiotherapy.,"Oral ice application, Routine management (Dispirine gargle, Mucaine gel)","Department of Radiotherapy,CHANDIGARH"
